City,X,Y
Kaunas,40.562176238951785,49.3512584600436
Helsinki,6.262518008607431,13.25468384111378
London,60.64456528810378,54.7333956058362
Cologne,17.46743966529528,35.00819728636822
Copenhagen,84.81717985041274,57.406890116491326
Alicante,88.14078754915874,49.22988657364953
Liverpool,24.42631528752687,2.6309390025571977
Brussels,25.135656257799923,57.34353242964567
Malaga,85.74308526095255,47.920779827116355
Naples,38.361235650924506,88.23154532437334
Madrid,36.68735676042483,90.37606381860466
Eindhoven,17.08649829237411,14.576675535410066
Dublin,62.66444635795714,57.77595095871815
Bristol,20.648101128003127,8.917553656805598
Edinburgh,80.08091751120911,94.63624494812073
Gothenborg,52.456053233041104,23.55975402309992
Kaunas,40.562176238951785,49.3512584600436
