City,X,Y
Kaunas,20.44081463316675,85.28989397917374
Helsinki,81.090576874837,77.76320121819887
London,5.620960998854341,10.405090570783315
Cologne,27.76085092420559,67.71286187182781
Copenhagen,58.81803848736771,16.45839397939962
Alicante,70.48597764900555,89.63925066231585
Liverpool,62.32696412028093,48.44755923223195
Brussels,16.624061853189275,20.98728615113391
Malaga,70.28821588396548,61.97320816220528
Naples,27.91266487443962,29.556496695150337
Madrid,1.8681111723607646,56.52407146110483
Eindhoven,32.13933203889461,1.3295775638759721
Dublin,30.958956865529995,84.41247191988327
Bristol,39.13022098377973,14.103546934727474
Edinburgh,9.84126443195107,18.150747611940588
Gothenborg,3.6527945737701795,88.67918720350592
Kaunas,20.44081463316675,85.28989397917374
