City,X,Y
Kaunas,46.239487960318606,34.67244673190252
Liverpool,93.53469415021169,93.65726285316855
Alicante,36.28287026945692,27.307333409496838
London,14.686465174122121,16.773940130815323
Warsaw,61.47189724635198,38.39119551617117
Copenhagen,70.29890343298045,3.3193298520873604
Dublin,94.00650300538776,93.1049907657735
Bristol,55.13361291818711,16.432910287291925
Edinburgh,33.64312295267721,74.8266289733137
Gothenborg,73.7774091302874,25.133201159051588
Kaunas,46.239487960318606,34.67244673190252
Helsinki,88.3397311934404,48.629906737543116
Kaunas,46.239487960318606,34.67244673190252
Gothenborg,73.7774091302874,25.133201159051588
Stockholm,98.93529138437836,60.4124327236995
Liverpool,93.53469415021169,93.65726285316855
Kaunas,46.239487960318606,34.67244673190252
Cologne,11.59751649075086,82.3962954919095
Kaunas,46.239487960318606,34.67244673190252
